"","player_name","player_state","total_points","player_pre_rating","player_number","pre_chess_rating_matrix[, 2]"
"1","GARY HUA                        ","ON",6,1794,1,1605
"2","DAKSHESH DARURI                 ","MI",6,1553,2,1469
"3","ADITYA BAJAJ                    ","MI",6,1384,3,1564
"4","PATRICK H SCHILLING             ","MI",5.5,1716,4,1574
"5","HANSHI ZUO                      ","MI",5.5,1655,5,1501
"6","HANSEN SONG                     ","OH",5,1686,6,1519
"7","GARY DEE SWATHELL               ","MI",5,1649,7,1372
"8","EZEKIEL HOUGHTON                ","MI",5,1641,8,1468
"9","STEFANO LEE                     ","ON",5,1411,9,1523
"10","ANVIT RAO                       ","MI",5,1365,10,1554
"11","CAMERON WILLIAM MC LEMAN        ","MI",4.5,1712,11,1468
"12","KENNETH J TACK                  ","MI",4.5,1663,12,1506
"13","TORRANCE HENRY JR               ","MI",4.5,1666,13,1498
"14","BRADLEY SHAW                    ","MI",4.5,1610,14,1515
"15","ZACHARY JAMES HOUGHTON          ","MI",4.5,1220,15,1484
"16","MIKE NIKITIN                    ","MI",4,1604,16,1386
"17","RONALD GRZEGORCZYK              ","MI",4,1629,17,1499
"18","DAVID SUNDEEN                   ","MI",4,1600,18,1480
"19","DIPANKAR ROY                    ","MI",4,1564,19,1426
"20","JASON ZHENG                     ","MI",4,1595,20,1411
"21","DINH DANG BUI                   ","ON",4,1563,21,1470
"22","EUGENE L MCCLURE                ","MI",4,1555,22,1300
"23","ALAN BUI                        ","ON",4,1363,23,1214
"24","MICHAEL R ALDRICH               ","MI",4,1229,24,1357
"25","LOREN SCHWIEBERT                ","MI",3.5,1745,25,1363
"26","MAX ZHU                         ","ON",3.5,1579,26,1507
"27","GAURAV GIDWANI                  ","MI",3.5,1552,27,1222
"28","SOFIA ADINA STANESCU-BELLU      ","MI",3.5,1507,28,1522
"29","CHIEDOZIE OKORIE                ","MI",3.5,1602,29,1314
"30","GEORGE AVERY JONES              ","ON",3.5,1522,30,1144
"31","RISHI SHETTY                    ","MI",3.5,1494,31,1260
"32","JOSHUA PHILIP MATHEWS           ","ON",3.5,1441,32,1379
"33","JADE GE                         ","MI",3.5,1449,33,1277
"34","MICHAEL JEFFERY THOMAS          ","MI",3.5,1399,34,1375
"35","JOSHUA DAVID LEE                ","MI",3.5,1438,35,1150
"36","SIDDHARTH JHA                   ","MI",3.5,1355,36,1388
"37","AMIYATOSH PWNANANDAM            ","MI",3.5,980,37,1385
"38","BRIAN LIU                       ","MI",3,1423,38,1539
"39","JOEL R HENDON                   ","MI",3,1436,39,1430
"40","FOREST ZHANG                    ","MI",3,1348,40,1391
"41","KYLE WILLIAM MURPHY             ","MI",3,1403,41,1248
"42","JARED GE                        ","MI",3,1332,42,1150
"43","ROBERT GLEN VASEY               ","MI",3,1283,43,1107
"44","JUSTIN D SCHILLING              ","MI",3,1199,44,1327
"45","DEREK YAN                       ","MI",3,1242,45,1152
"46","JACOB ALEXANDER LAVALLEY        ","MI",3,377,46,1358
"47","ERIC WRIGHT                     ","MI",2.5,1362,47,1392
"48","DANIEL KHAIN                    ","MI",2.5,1382,48,1356
"49","MICHAEL J MARTIN                ","MI",2.5,1291,49,1286
"50","SHIVAM JHA                      ","MI",2.5,1056,50,1296
"51","TEJAS AYYAGARI                  ","MI",2.5,1011,51,1356
"52","ETHAN GUO                       ","MI",2.5,935,52,1495
"53","JOSE C YBARRA                   ","MI",2,1393,53,1345
"54","LARRY HODGE                     ","MI",2,1270,54,1206
"55","ALEX KONG                       ","MI",2,1186,55,1406
"56","MARISA RICCI                    ","MI",2,1153,56,1414
"57","MICHAEL LU                      ","MI",2,1092,57,1363
"58","VIRAJ MOHILE                    ","MI",2,917,58,1391
"59","SEAN M MC CORMICK               ","MI",2,853,59,1319
"60","JULIA SHEN                      ","MI",1.5,967,60,1330
"61","JEZZEL FARKAS                   ","ON",1.5,955,61,1327
"62","ASHWIN BALAJI                   ","MI",1,1530,62,1186
"63","THOMAS JOSEPH HOSMER            ","MI",1,1175,63,1350
"64","BEN LI                          ","MI",1,1163,64,1263
